#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 05 14 50  72  5.7  7.0  0.75 10.81  5.29 265 1003.6   6.3   8.4 999.0 99.0 99.00
2020 04 05 15 20  56  5.4  6.2  0.79 10.00  5.42 290 1003.8   6.3   8.4 999.0 99.0 99.00
2020 04 05 15 50  60  5.2  6.3  0.80 10.00  5.57 267 1003.6   6.4   8.4 999.0 99.0 99.00
2020 04 05 16 20  54  5.1  6.0  0.84 10.00  5.28 266 1003.7   6.7   8.4 999.0 99.0 99.00
2020 04 05 16 50  60  4.1  5.0  0.82 10.00  5.24 263 1003.8   7.0   8.4 999.0 99.0 99.00
2020 04 05 17 20  79  4.6  5.2  0.79 10.00  5.58 261 1003.8   7.3   8.5 999.0 99.0 99.00
2020 04 05 17 50  93  4.5  5.1  0.74 10.00  4.89 276 1003.9   7.4   8.5 999.0 99.0 99.00
2020 04 05 18 20 102  4.2  5.1  0.77 10.00  4.81 266 1003.9   7.6   8.6 999.0 99.0 99.00
2020 04 05 18 50 112  5.6  6.7  0.75 10.00  4.95 275 1003.9   7.8   8.7 999.0 99.0 99.00
2020 04 05 19 20 120  7.2  8.1  0.73 10.00  5.20 272 1003.7   7.9   8.8 999.0 99.0 99.00
2020 04 05 19 50 124  7.6  8.5  0.74  9.09  4.98 274 1003.9   7.9   8.8 999.0 99.0 99.00
2020 04 05 20 20 114  6.3  7.3  0.77 10.00  4.42 248 1004.0   8.0   8.8 999.0 99.0 99.00
2020 04 05 20 50 113  5.0  6.0  0.76 10.00  4.72 269 1004.2   7.9   8.8 999.0 99.0 99.00
2020 04 05 21 20 104  5.5  6.6  0.79 10.00  4.37 262 1004.1   8.1   8.8 999.0 99.0 99.00
2020 04 05 21 50 107  4.7  5.5  0.79 10.00  4.51 254 1004.2   8.1   8.7 999.0 99.0 99.00
2020 04 05 22 20 103  3.4  4.2  0.75 10.00  4.38 273 1004.4   8.2   8.8 999.0 99.0 99.00
2020 04 05 22 50  85  2.3  2.7  0.77 10.00  4.62 262 1004.6   8.3   8.8 999.0 99.0 99.00
2020 04 05 23 20  74  0.8  1.7  0.72 10.81  4.81 266 1004.6   8.6   8.9 999.0 99.0 99.00
2020 04 05 23 50  44  0.7  1.1  0.74 10.00  5.43 270 1004.7   8.7   9.0 999.0 99.0 99.00
2020 04 06 00 20 318  0.5  1.2  0.82 10.00  5.55 278 1004.8   8.9   9.1 999.0 99.0 99.00
2020 04 06 00 50 328  1.0  1.4  0.78 10.00  5.58 277 1005.0   8.8   9.3 999.0 99.0 99.00
